app_name,business,status,description,connects_to,show_indicator
Trading Platform,Finance,95,Core equities trading system,Risk Engine;Market Data Feed,true
FX Trading,Finance,88,Foreign exchange trading,Risk Engine;Settlement System,
Derivatives Engine,Finance,72,Options and futures trading,Risk Engine;Pricing Service,
Order Management,Finance,100,Order routing and management,Trading Platform;FX Trading,
Market Data Feed,Finance,98,Real-time market data,,
Pricing Service,Finance,45,Instrument pricing engine,Market Data Feed,
Position Manager,Finance,93,Real-time position tracking,Trading Platform;Risk Engine,
Treasury System,Finance,89,Treasury management,Cash Management;Market Data Feed,
Risk Engine,Finance,94,Real-time risk calculations,Market Data Feed,true
Credit Risk,Finance,35,Counterparty credit risk,Risk Engine,
Market Risk,Finance,28,Market risk analytics,Risk Engine;Market Data Feed,
Limit Manager,Finance,91,Trading limit management,Risk Engine;Trading Platform,
VaR Calculator,Finance,63,Value at Risk engine,Market Risk;Position Manager,
PnL Attribution,Finance,12,P&L explain and attribution,Position Manager;Risk Engine,true
HR Core,HR,96,Core HR system,Employee DB;Payroll,
Employee DB,HR,100,Employee master data,,
Payroll,HR,22,Payroll processing,Employee DB;Finance System,
Benefits Admin,HR,8,Benefits management,Employee DB;HR Core,true
Time Tracking,HR,85,Time and attendance,Employee DB;Payroll,
Recruiting,HR,67,Talent acquisition,Employee DB;HR Core,
Learning Management,HR,42,Training platform,Employee DB;HR Core,
Performance Review,HR,58,Performance management,Employee DB;HR Core,
Onboarding,HR,89,Employee onboarding,Recruiting;HR Core,
Compensation,HR,73,Compensation planning,HR Core;Payroll,
Workforce Analytics,HR,31,HR analytics and reporting,Employee DB;HR Core,
CRM Platform,Sales,93,Customer relationship management,Customer DB;Marketing Hub,true
Sales Pipeline,Sales,88,Sales opportunity tracking,CRM Platform;Forecasting,
Forecasting,Sales,75,Revenue forecasting,Sales Pipeline;Finance System,
Quote Generator,Sales,91,Proposal and quotes,CRM Platform;Pricing Service,
Contract Management,Sales,15,Contract lifecycle,Quote Generator;Legal System,
Territory Management,Sales,82,Sales territory planning,CRM Platform;Sales Pipeline,
Commission Tracker,Sales,47,Sales commission calculation,Sales Pipeline;Payroll,
Lead Scoring,Sales,79,Lead qualification,CRM Platform;Marketing Hub,
Customer Success,Sales,86,Customer retention,CRM Platform;Support Desk,
Partner Portal,Sales,54,Partner relationship management,CRM Platform;Contract Management,
Sales Analytics,Sales,92,Sales reporting and insights,Sales Pipeline;Data Warehouse,true
IT Service Desk,IT,97,IT support ticketing,Asset Management;Employee DB,
Asset Management,IT,95,IT asset tracking,IT Service Desk;Procurement,
Network Monitor,IT,18,Network monitoring,Security Ops;Cloud Platform,
Cloud Platform,IT,95,Cloud infrastructure,Network Monitor;Container Platform,true
Container Platform,IT,94,Kubernetes cluster,Cloud Platform;DevOps Pipeline,
DevOps Pipeline,IT,96,CI/CD platform,Cloud Platform;Code Repository,
Code Repository,IT,100,Source code management,DevOps Pipeline,
Security Ops,IT,52,Security monitoring,Network Monitor;SIEM Platform,
SIEM Platform,IT,61,Security event monitoring,Security Ops;Log Aggregation,
Identity Management,IT,97,IAM platform,Security Ops;Employee DB,true
Database Admin,IT,88,Database management,Cloud Platform;Data Warehouse,
Backup Systems,IT,9,Backup and recovery,Cloud Platform;Database Admin,
Disaster Recovery,IT,94,DR and BCP systems,Cloud Platform;Backup Systems,
Marketing Hub,Marketing,90,Marketing automation,Customer DB;CRM Platform,
Campaign Manager,Marketing,85,Campaign orchestration,Marketing Hub;Email Platform,
Email Platform,Marketing,92,Email marketing,Campaign Manager;Customer DB,true
Social Media,Marketing,38,Social media management,Marketing Hub;Analytics Platform,
Content Management,Marketing,76,Content repository,Marketing Hub;Web Platform,
Web Platform,Marketing,89,Website management,Content Management;Analytics Platform,
Analytics Platform,Marketing,94,Marketing analytics,Web Platform;Data Warehouse,
SEO Tools,Marketing,67,Search optimization,Web Platform;Analytics Platform,
Ad Platform,Marketing,11,Advertising management,Campaign Manager;Analytics Platform,
Customer Segments,Marketing,81,Audience segmentation,Customer DB;Analytics Platform,
Brand Portal,Marketing,72,Brand asset management,Content Management;Marketing Hub,
AI Research,Emerging Tech,87,AI/ML research platform,Data Science;Cloud Platform,true
Data Science,Emerging Tech,93,Data science workbench,AI Research;Data Warehouse,
ML Pipeline,Emerging Tech,79,ML model deployment,AI Research;Cloud Platform,
Blockchain Platform,Emerging Tech,34,Distributed ledger,Cloud Platform;Security Ops,
IoT Gateway,Emerging Tech,56,IoT device management,Cloud Platform;Data Science,
Quantum Computing,Emerging Tech,6,Quantum research,AI Research;Cloud Platform,
AR/VR Platform,Emerging Tech,48,Immersive experiences,Content Management;Cloud Platform,
NLP Engine,Emerging Tech,82,Natural language processing,AI Research;Customer Service,
Computer Vision,Emerging Tech,71,Image recognition,AI Research;Security Ops,
RPA Platform,Emerging Tech,88,Robotic process automation,ML Pipeline;Operations Hub,
Edge Computing,Emerging Tech,50,Edge processing nodes,IoT Gateway;Cloud Platform,
Customer DB,Cross-Functional,100,Customer master data,,
Finance System,Cross-Functional,96,Core financial system,Customer DB;Data Warehouse,true
Legal System,Cross-Functional,84,Legal matter management,Contract Management;Compliance,
Compliance,Cross-Functional,78,Regulatory compliance,Legal System;Risk Engine,
Data Warehouse,Cross-Functional,98,Enterprise data lake,Finance System;Analytics Platform,
Operations Hub,Cross-Functional,91,Operations management,Data Warehouse;IT Service Desk,
Support Desk,Cross-Functional,86,Customer support,Customer DB;CRM Platform,
Procurement,Cross-Functional,74,Procurement system,Finance System;Asset Management,
Vendor Management,Cross-Functional,19,Vendor relationship,Procurement;Contract Management,
Document Management,Cross-Functional,83,Enterprise documents,Compliance;Legal System,
Log Aggregation,Cross-Functional,93,Centralized logging,SIEM Platform;Data Warehouse,
Customer Service,Cross-Functional,87,Customer service platform,Support Desk;CRM Platform,
Settlement System,Cross-Functional,95,Trade settlement,FX Trading;Finance System,
Cash Management,Cross-Functional,77,Cash flow management,Treasury System;Finance System,
